instance_name,periods,bs_total_cost,bs_routing_cost,bs_inventory_penalty,bs_feasible,bs_runtime_sec,bs_calls,ils_total_cost,ils_routing_cost,ils_inventory_penalty,ils_feasible,ils_runtime_sec,ils_calls,total_runtime_sec,total_runtime_formatted,improvement_percent
LR1_DR02_VC01_V6a,360,1625167.8077599998,111567.80775999988,1513600.0,True,329.6073,161,424940.2566999998,108940.25669999982,316000.0,True,49921.7608,177,50251.3681,13h 57m 31.37s,73.85%
LR1_DR02_VC02_V6a,360,2393818.1881000004,100718.18810000017,2293100.0,True,1034.3402,222,384758.7583700002,105158.75837000023,279600.0,True,49288.3704,204,50322.7105,13h 58m 42.71s,83.93%
LR1_DR02_VC03_V7a,360,1321124.421024,114324.42102400001,1206800.0,True,756.3678,171,393802.61499200005,112002.61499200006,281800.0,True,49666.2043,199,50422.5721,14h 0m 22.57s,70.19%
LR1_DR02_VC03_V8a,360,1169846.470612,136246.47061200003,1033600.0,True,915.0458,147,309654.82785799995,136154.82785799998,173500.0,True,49123.626,167,50038.6717,13h 53m 58.67s,73.53%
LR1_DR02_VC04_V8a,360,390384.8787939998,136684.87879399981,253700.0,True,1160.2103,218,269622.34004999977,136022.34004999974,133600.0,True,60535.4213,220,61695.6316,17h 8m 15.63s,30.93%
LR1_DR02_VC05_V8a,360,510237.6771480001,122237.67714800008,388000.0,True,3249.8493,208,314801.07511,119301.07511,195500.0,True,46955.6907,208,50205.54,13h 56m 45.54s,38.30%
LR1_DR03_VC03_V10b,360,5643165.198822,20665.198822000006,5622500.0,True,9304.7968,46,572080.0471620002,149080.0471620002,423000.0,True,40937.5612,234,50242.358,13h 57m 22.36s,89.86%
LR1_DR03_VC03_V13b,360,6021913.873685999,263813.8736859993,5758100.0,True,4049.2385,364,904880.199814,204580.19981400008,700300.0,True,46063.0887,290,50112.3272,13h 55m 12.33s,84.97%
LR1_DR03_VC03_V16a,360,3079508.756734,262008.75673400014,2817500.0,True,901.4417,207,724269.2157219998,249269.21572199982,475000.0,True,49142.4514,287,50043.8931,13h 54m 3.89s,76.48%
LR1_DR04_VC03_V15a,360,7210518.210922,249818.21092199962,6960700.0,True,1799.7775,260,474026.81991199974,231326.81991199974,242700.0,True,48699.6982,366,50499.4757,14h 1m 39.48s,93.43%
LR1_DR04_VC03_V15b,360,8206064.767364,50564.76736399999,8155500.0,True,12724.2058,98,574120.4579420001,217720.4579420001,356400.0,True,47543.3031,342,60267.5089,16h 44m 27.51s,93.00%
LR1_DR04_VC05_V17a,360,7417619.688644001,260919.68864400114,7156700.0,True,34357.3367,432,534892.708108,239492.70810800005,295400.0,True,17056.0251,394,51413.3618,14h 16m 53.36s,92.79%
LR1_DR04_VC05_V17b,360,7012233.573968001,270733.57396800054,6741500.0,True,8354.7348,398,494257.37437000044,233857.37437000047,260400.0,True,42831.5051,384,51186.2399,14h 13m 6.24s,92.95%
LR1_DR05_VC05_V25a,360,9915239.875914,37339.875914,9877900.0,True,42635.0203,71,1481009.636536,273509.636536,1207500.0,True,14625.5697,389,57260.5899,15h 54m 20.59s,85.06%
LR1_DR05_VC05_V25b,360,9819600.911028,64900.911028,9754700.0,True,30067.654,135,713132.7699619997,299032.76996199973,414100.0,True,17245.5713,433,47313.2253,13h 8m 33.23s,92.74%
